sample,yield,dilution,time,productAbsorbance,substrateConcentration
12) S220_I,1.484,1000,2400,290,0.0023331
12) S220_I,1.484,1000,2400,134.8,0.0007777
12) S220_I,1.484,1000,2400,76.5,0.0002593
12) S220_I,1.484,1000,2400,42.6,0.0000864
12) S220_I,1.484,1000,2400,24.4,0.0000288
12) S220_I,1.484,1000,2400,9.5,0
13) T242A_I_2,1.434,1000,2400,708,0.007
13) T242A_I_2,1.434,1000,2400,304.2,0.0023331
13) T242A_I_2,1.434,1000,2400,195.7,0.0007777
13) T242A_I_2,1.434,1000,2400,122.3,0.0002593
13) T242A_I_2,1.434,1000,2400,52,0.0000864
13) T242A_I_2,1.434,1000,2400,31.7,0.0000288
13) T242A_I_2,1.434,1000,2400,10.5,0
13) T242A_I_3,1.088,1000,2400,204.3,0.0023331
13) T242A_I_3,1.088,1000,2400,135.4,0.0007777
13) T242A_I_3,1.088,1000,2400,74.1,0.0002593
13) T242A_I_3,1.088,1000,2400,57.6,0.0000864
13) T242A_I_3,1.088,1000,2400,28,0.0000288
13) T242A_I_3,1.088,1000,2400,7.8,0
14) N243A_I_1,2.039,20,2400,24.8,0.007
14) N243A_I_1,2.039,20,2400,21,0.0023331
14) N243A_I_1,2.039,20,2400,21.2,0.0007777
14) N243A_I_1,2.039,20,2400,18.1,0.0002593
14) N243A_I_1,2.039,20,2400,18.3,0.0000864
14) N243A_I_1,2.039,20,2400,13.1,0.0000288
14) N243A_I_1,2.039,20,2400,0,0
14) N243A_I_2,1.316,20,2400,68.9,0.007
14) N243A_I_2,1.316,20,2400,105.6,0.0023331
14) N243A_I_2,1.316,20,2400,40.1,0.0007777
14) N243A_I_2,1.316,20,2400,36.4,0.0002593
14) N243A_I_2,1.316,20,2400,46.7,0.0000864
14) N243A_I_2,1.316,20,2400,25.3,0.0000288
14) N243A_I_2,1.316,20,2400,12.3,0
14) N243A_I_3,0.323,20,2400,15,0.0023331
14) N243A_I_3,0.323,20,2400,14.6,0.0007777
14) N243A_I_3,0.323,20,2400,14.4,0.0002593
14) N243A_I_3,0.323,20,2400,12.6,0.0000864
14) N243A_I_3,0.323,20,2400,11.9,0.0000288
14) N243A_I_3,0.323,20,2400,6.3,0
15) V245A_I_1,1.802,10000,2400,473.9,0.007
15) V245A_I_1,1.802,10000,2400,306.4,0.0023331
15) V245A_I_1,1.802,10000,2400,210.5,0.0007777
15) V245A_I_1,1.802,10000,2400,103.6,0.0002593
15) V245A_I_1,1.802,10000,2400,46.8,0.0000864
15) V245A_I_1,1.802,10000,2400,14.8,0.0000288
15) V245A_I_1,1.802,10000,2400,0,0
15) V245A_I_2,1.623,10000,2400,457.1,0.007
15) V245A_I_2,1.623,10000,2400,314.5,0.0023331
15) V245A_I_2,1.623,10000,2400,218,0.0007777
15) V245A_I_2,1.623,10000,2400,142.6,0.0002593
15) V245A_I_2,1.623,10000,2400,67.3,0.0000864
15) V245A_I_2,1.623,10000,2400,38.7,0.0000288
15) V245A_I_2,1.623,10000,2400,9.6,0
16) H257A_I,1.495,1000,2400,536.2,0.007
16) H257A_I,1.495,1000,2400,288.6,0.0023331
16) H257A_I,1.495,1000,2400,157.7,0.0007777
16) H257A_I,1.495,1000,2400,32.2,0.0002593
16) H257A_I,1.495,1000,2400,35.1,0.0000864
16) H257A_I,1.495,1000,2400,27.1,0.0000288
16) H257A_I,1.495,1000,2400,9.3,0
17) V260A_I_2,1.292,10000,2400,98.5,0.007
17) V260A_I_2,1.292,10000,2400,73.8,0.0023331
17) V260A_I_2,1.292,10000,2400,50.2,0.0007777
17) V260A_I_2,1.292,10000,2400,33,0.0002593
17) V260A_I_2,1.292,10000,2400,19,0.0000864
17) V260A_I_2,1.292,10000,2400,11.4,0.0000288
17) V260A_I_2,1.292,10000,2400,11,0
17) V260A_I_3,1.565,10000,2400,87.4,0.0023331
17) V260A_I_3,1.565,10000,2400,67.6,0.0007777
17) V260A_I_3,1.565,10000,2400,44.3,0.0002593
17) V260A_I_3,1.565,10000,2400,31,0.0000864
17) V260A_I_3,1.565,10000,2400,19.4,0.0000288
17) V260A_I_3,1.565,10000,2400,6.9,0
GFP_I_1,3.455,20,2400,0,0.007
GFP_I_1,3.455,20,2400,0,0.0023331
GFP_I_1,3.455,20,2400,0,0.0007777
GFP_I_1,3.455,20,2400,0,0.0002593
GFP_I_1,3.455,20,2400,0,0.0000864
GFP_I_1,3.455,20,2400,0,0.0000288
GFP_I_1,3.455,20,2400,0,0
GFP_I_2,2.579,20,2400,8.8,0.0023331
GFP_I_2,2.579,20,2400,8.4,0.0007777
GFP_I_2,2.579,20,2400,7.3,0.0002593
GFP_I_2,2.579,20,2400,7.4,0.0000864
GFP_I_2,2.579,20,2400,7.2,0.0000288
GFP_I_2,2.579,20,2400,6.8,0
GFP_I_3,1.31,20,2400,61,0.007
GFP_I_3,1.31,20,2400,29.6,0.0023331
GFP_I_3,1.31,20,2400,24.1,0.0007777
GFP_I_3,1.31,20,2400,16.2,0.0002593
GFP_I_3,1.31,20,2400,16.9,0.0000864
GFP_I_3,1.31,20,2400,32.7,0.0000288
GFP_I_3,1.31,20,2400,59.3,0
PNPH_P_1,1.498,10000,2400,160.3,0.014
PNPH_P_1,1.498,10000,2400,138.7,0.0028
PNPH_P_1,1.498,10000,2400,78.1,0.00056
PNPH_P_1,1.498,10000,2400,22.6,0.000112
PNPH_P_1,1.498,10000,2400,11.9,0.0000224
PNPH_P_1,1.498,10000,2400,0,0
PNPH_P_2,1.54,10000,2400,140.7,0.0028
PNPH_P_2,1.54,10000,2400,90.4,0.00056
PNPH_P_2,1.54,10000,2400,43,0.000112
PNPH_P_2,1.54,10000,2400,23.2,0.0000224
PNPH_P_2,1.54,10000,2400,9.6,0
PNPH_P_3,0.945,10000,2400,192.7,0.014
PNPH_P_3,0.945,10000,2400,123.3,0.0028
PNPH_P_3,0.945,10000,2400,75.3,0.00056
PNPH_P_3,0.945,10000,2400,45.4,0.000112
PNPH_P_3,0.945,10000,2400,13.1,0.0000224
PNPH_P_3,0.945,10000,2400,11.3,0
0) S33A_P,2.615,100,2400,287.7,0.014
0) S33A_P,2.615,100,2400,236.2,0.0028
0) S33A_P,2.615,100,2400,156,0.00056
0) S33A_P,2.615,100,2400,112.1,0.000112
0) S33A_P,2.615,100,2400,39.7,0.0000224
0) S33A_P,2.615,100,2400,23.2,0
1) H64A_P,2.728,100,2400,687.7,0.014
1) H64A_P,2.728,100,2400,385,0.0028
1) H64A_P,2.728,100,2400,225.7,0.00056
1) H64A_P,2.728,100,2400,149.1,0.000112
1) H64A_P,2.728,100,2400,119,0.0000224
1) H64A_P,2.728,100,2400,34,0
2) R84A_P,2.622,100,2400,231.7,0.014
2) R84A_P,2.622,100,2400,159.7,0.0028
2) R84A_P,2.622,100,2400,61.1,0.00056
2) R84A_P,2.622,100,2400,41,0.000112
2) R84A_P,2.622,100,2400,39.6,0.0000224
2) R84A_P,2.622,100,2400,34.3,0
3) H86A_P,2.426,10000,2400,249.6,0.014
3) H86A_P,2.426,10000,2400,168.7,0.0028
3) H86A_P,2.426,10000,2400,64.5,0.00056
3) H86A_P,2.426,10000,2400,43,0.000112
3) H86A_P,2.426,10000,2400,36.1,0.0000224
3) H86A_P,2.426,10000,2400,30.9,0
4) Y88A_P,2.461,10000,2400,220.6,0.014
4) Y88A_P,2.461,10000,2400,148.2,0.0028
4) Y88A_P,2.461,10000,2400,84.6,0.00056
4) Y88A_P,2.461,10000,2400,32.5,0.000112
4) Y88A_P,2.461,10000,2400,16.8,0.0000224
4) Y88A_P,2.461,10000,2400,9.3,0
5) F159A_P,2.875,1000,2400,770.6,0.014
5) F159A_P,2.875,1000,2400,456.3,0.0028
5) F159A_P,2.875,1000,2400,288.6,0.00056
5) F159A_P,2.875,1000,2400,101.4,0.000112
5) F159A_P,2.875,1000,2400,38.8,0.0000224
5) F159A_P,2.875,1000,2400,10.1,0
6) Y192A_P_1,2.516,100,2400,0,0.014
6) Y192A_P_1,2.516,100,2400,0,0.0028
6) Y192A_P_1,2.516,100,2400,0,0.00056
6) Y192A_P_1,2.516,100,2400,0,0.000112
6) Y192A_P_1,2.516,100,2400,0,0.0000224
6) Y192A_P_1,2.516,100,2400,0,0
6) Y192A_P_2,0.719,100,2400,35,0.014
6) Y192A_P_2,0.719,100,2400,44.1,0.0028
6) Y192A_P_2,0.719,100,2400,41.2,0.00056
6) Y192A_P_2,0.719,100,2400,45.6,0.000112
6) Y192A_P_2,0.719,100,2400,44.3,0.0000224
6) Y192A_P_2,0.719,100,2400,43.1,0
6) Y192A_P_3,1.792,100,2400,8.1,0.0028
6) Y192A_P_3,1.792,100,2400,8,0.00056
6) Y192A_P_3,1.792,100,2400,8.2,0.000112
6) Y192A_P_3,1.792,100,2400,7.8,0.0000224
6) Y192A_P_3,1.792,100,2400,7.6,0
7) V195A_P,1.838,10000,2400,526.6,0.014
7) V195A_P,1.838,10000,2400,320.1,0.0028
7) V195A_P,1.838,10000,2400,156.8,0.00056
7) V195A_P,1.838,10000,2400,88.9,0.000112
7) V195A_P,1.838,10000,2400,46.1,0.0000224
7) V195A_P,1.838,10000,2400,5.3,0
8) F200A_P,1.898,100,2400,901.2,0.014
8) F200A_P,1.898,100,2400,621.6,0.0028
8) F200A_P,1.898,100,2400,359.8,0.00056
8) F200A_P,1.898,100,2400,214.4,0.000112
8) F200A_P,1.898,100,2400,170.9,0.0000224
8) F200A_P,1.898,100,2400,38.9,0
9) E201A_P_1,2.387,1000,2400,296.7,0.014
9) E201A_P_1,2.387,1000,2400,340.9,0.0028
9) E201A_P_1,2.387,1000,2400,113.6,0.00056
9) E201A_P_1,2.387,1000,2400,47,0.000112
9) E201A_P_1,2.387,1000,2400,15,0.0000224
9) E201A_P_1,2.387,1000,2400,0,0
9) E201A_P_2,1.05,1000,2400,507.3,0.014
9) E201A_P_2,1.05,1000,2400,365.2,0.0028
9) E201A_P_2,1.05,1000,2400,253.4,0.00056
9) E201A_P_2,1.05,1000,2400,111.4,0.000112
9) E201A_P_2,1.05,1000,2400,49.7,0.0000224
9) E201A_P_2,1.05,1000,2400,15.6,0
10) V217A_P,1.653,10000,2400,612.6,0.014
10) V217A_P,1.653,10000,2400,364.3,0.0028
10) V217A_P,1.653,10000,2400,200.8,0.00056
10) V217A_P,1.653,10000,2400,101.9,0.000112
10) V217A_P,1.653,10000,2400,31.9,0.0000224
10) V217A_P,1.653,10000,2400,5.6,0
11) M219A_P,1.921,1000,2400,469.7,0.014
11) M219A_P,1.921,1000,2400,415,0.0028
11) M219A_P,1.921,1000,2400,243.4,0.00056
11) M219A_P,1.921,1000,2400,107.6,0.000112
11) M219A_P,1.921,1000,2400,38.7,0.0000224
11) M219A_P,1.921,1000,2400,10.8,0
12) S220_P,1.484,1000,2400,131,0.014
12) S220_P,1.484,1000,2400,89.2,0.0028
12) S220_P,1.484,1000,2400,50.4,0.00056
12) S220_P,1.484,1000,2400,19.2,0.000112
12) S220_P,1.484,1000,2400,7.9,0.0000224
12) S220_P,1.484,1000,2400,9.3,0
13) T242A_P_2,1.434,1000,2400,273.3,0.014
13) T242A_P_2,1.434,1000,2400,268,0.0028
13) T242A_P_2,1.434,1000,2400,246.8,0.00056
13) T242A_P_2,1.434,1000,2400,115,0.000112
13) T242A_P_2,1.434,1000,2400,38.2,0.0000224
13) T242A_P_2,1.434,1000,2400,10.5,0
13) T242A_P_3,1.088,1000,2400,182.1,0.0028
13) T242A_P_3,1.088,1000,2400,128,0.00056
13) T242A_P_3,1.088,1000,2400,59.6,0.000112
13) T242A_P_3,1.088,1000,2400,26.6,0.0000224
13) T242A_P_3,1.088,1000,2400,8.4,0
14) N243A_P_1,2.039,20,2400,44.6,0.014
14) N243A_P_1,2.039,20,2400,48.7,0.0028
14) N243A_P_1,2.039,20,2400,44.4,0.00056
14) N243A_P_1,2.039,20,2400,36.7,0.000112
14) N243A_P_1,2.039,20,2400,14.6,0.0000224
14) N243A_P_1,2.039,20,2400,0,0
14) N243A_P_2,1.316,20,2400,349.2,0.014
14) N243A_P_2,1.316,20,2400,339.4,0.0028
14) N243A_P_2,1.316,20,2400,306.3,0.00056
14) N243A_P_2,1.316,20,2400,283.1,0.000112
14) N243A_P_2,1.316,20,2400,299.1,0.0000224
14) N243A_P_2,1.316,20,2400,240.8,0
14) N243A_P_3,0.323,20,2400,21.1,0.0028
14) N243A_P_3,0.323,20,2400,20.4,0.00056
14) N243A_P_3,0.323,20,2400,17.8,0.000112
14) N243A_P_3,0.323,20,2400,15.9,0.0000224
14) N243A_P_3,0.323,20,2400,7.9,0
15) V245A_P_1,1.802,10000,2400,384.1,0.014
15) V245A_P_1,1.802,10000,2400,295.2,0.0028
15) V245A_P_1,1.802,10000,2400,141.4,0.00056
15) V245A_P_1,1.802,10000,2400,47.6,0.000112
15) V245A_P_1,1.802,10000,2400,16.7,0.0000224
15) V245A_P_1,1.802,10000,2400,0,0
15) V245A_P_2,1.623,10000,2400,387.3,0.014
15) V245A_P_2,1.623,10000,2400,254.3,0.0028
15) V245A_P_2,1.623,10000,2400,146.7,0.00056
15) V245A_P_2,1.623,10000,2400,77,0.000112
15) V245A_P_2,1.623,10000,2400,28,0.0000224
15) V245A_P_2,1.623,10000,2400,10.4,0
16) H257A_P,1.495,1000,2400,228.7,0.014
16) H257A_P,1.495,1000,2400,147.5,0.0028
16) H257A_P,1.495,1000,2400,79.2,0.00056
16) H257A_P,1.495,1000,2400,18.2,0.000112
16) H257A_P,1.495,1000,2400,8.9,0.0000224
16) H257A_P,1.495,1000,2400,9.8,0
17) V260A_P_2,1.292,10000,2400,100.7,0.014
17) V260A_P_2,1.292,10000,2400,96,0.0028
17) V260A_P_2,1.292,10000,2400,70,0.00056
17) V260A_P_2,1.292,10000,2400,56.9,0.000112
17) V260A_P_2,1.292,10000,2400,16.5,0.0000224
17) V260A_P_2,1.292,10000,2400,11,0
17) V260A_P_3,1.565,10000,2400,122,0.0028
17) V260A_P_3,1.565,10000,2400,79.5,0.00056
17) V260A_P_3,1.565,10000,2400,37.6,0.000112
17) V260A_P_3,1.565,10000,2400,21.7,0.0000224
17) V260A_P_3,1.565,10000,2400,8.7,0
GFP_P_1,3.455,20,2400,0,0.014
GFP_P_1,3.455,20,2400,0,0.0028
GFP_P_1,3.455,20,2400,0,0.00056
GFP_P_1,3.455,20,2400,0,0.000112
GFP_P_1,3.455,20,2400,0,0.0000224
GFP_P_1,3.455,20,2400,0,0
GFP_P_2,2.579,20,2400,8.5,0.0028
GFP_P_2,2.579,20,2400,8.3,0.00056
GFP_P_2,2.579,20,2400,8.5,0.000112
GFP_P_2,2.579,20,2400,8.1,0.0000224
GFP_P_2,2.579,20,2400,8,0
GFP_P_3,1.31,20,2400,303.2,0.014
GFP_P_3,1.31,20,2400,259,0.0028
GFP_P_3,1.31,20,2400,224.3,0.00056
GFP_P_3,1.31,20,2400,150.9,0.000112
GFP_P_3,1.31,20,2400,0,0.0000224
GFP_P_3,1.31,20,2400,0,0
